SpriteRoom,MonsterRoom,SameRoom,NeighborRoom,Distance,State
1,4,0,1,138.042,ChangeRoom
1,4,0,1,137.891,ChangeRoom
1,4,0,1,136.37,ChangeRoom
1,4,0,1,136.152,ChangeRoom
1,4,0,1,134.647,ChangeRoom
1,4,0,1,134.391,ChangeRoom
1,4,0,1,132.956,ChangeRoom
1,4,0,1,132.665,ChangeRoom
1,4,0,1,131.183,ChangeRoom
1,4,0,1,130.848,ChangeRoom
1,4,0,1,129.375,ChangeRoom
1,4,0,1,128.986,ChangeRoom
1,4,0,1,127.532,ChangeRoom
1,4,0,1,127.145,ChangeRoom
1,-1,0,0,125.7,Wander
1,-1,0,0,125.264,Wander
1,-1,0,0,123.839,Wander
1,-1,0,0,123.386,Wander
1,-1,0,0,121.97,Wander
1,-1,0,0,121.477,Wander
1,-1,0,0,120.087,Wander
1,-1,0,0,119.572,Wander
1,-1,0,0,118.175,Wander
1,-1,0,0,117.066,Wander
1,-1,0,0,118.029,Wander
1,1,1,0,121.129,Seek
1,1,1,0,124.679,Seek
1,1,1,0,128.189,Seek
1,1,1,0,131.688,Seek
-1,1,0,0,135.149,Wander
-1,1,0,0,139.821,Wander
2,1,0,1,144.497,ChangeRoom
2,1,0,1,147.647,ChangeRoom
2,1,0,1,150.503,ChangeRoom
2,1,0,1,153.084,ChangeRoom
2,1,0,1,155.385,ChangeRoom
2,1,0,1,157.445,ChangeRoom
2,1,0,1,159.275,ChangeRoom
2,1,0,1,160.893,ChangeRoom
2,1,0,1,162.309,ChangeRoom
2,1,0,1,163.542,ChangeRoom
2,1,0,1,164.596,ChangeRoom
2,1,0,1,165.464,ChangeRoom
2,1,0,1,166.213,ChangeRoom
2,1,0,1,166.826,ChangeRoom
2,1,0,1,167.307,ChangeRoom
2,1,0,1,167.672,ChangeRoom
2,1,0,1,167.916,ChangeRoom
2,1,0,1,168.056,ChangeRoom
2,1,0,1,168.098,ChangeRoom
2,1,0,1,169.782,ChangeRoom
2,1,0,1,171.179,ChangeRoom
2,1,0,1,172.46,ChangeRoom
2,1,0,1,173.692,ChangeRoom
2,1,0,1,174.979,ChangeRoom
2,1,0,1,176.352,ChangeRoom
2,1,0,1,177.885,ChangeRoom
2,1,0,1,179.515,ChangeRoom
2,1,0,1,181.184,ChangeRoom
2,1,0,1,182.96,ChangeRoom
2,1,0,1,184.838,ChangeRoom
2,1,0,1,186.819,ChangeRoom
2,1,0,1,188.898,ChangeRoom
2,1,0,1,191.075,ChangeRoom
2,1,0,1,193.092,ChangeRoom
2,1,0,1,194.959,ChangeRoom
